Comune;N. Proc.;Anno;Procedimenti;Prov.;Regione;Abitanti
ACATE;1;2016 ;Diss.;RG;SICILIA;10954
ACERNO;1;2013 ;Rieq.;SA;CAMPANIA;2832
ACI CATENA;2;2019 ;Rieq.;CT;SICILIA;27868
ACI CATENA;;2023 ;Diss.;CT;SICILIA;27762
ACI SANT'ANTONIO;1;2013 ;Diss.;CT;SICILIA;17474
ACQUAFONDATA;1;1990 ;Diss.;FR;LAZIO;278
ACQUAFORMOSA;1;1989 ;Diss.;CS;CALABRIA;1380
ACQUAPPESA;3;1991 ;Diss.;CS;CALABRIA;2133
ACQUAPPESA;;2020 ;Rieq.;CS;CALABRIA;1765
ACQUAPPESA;;2021 ;Diss.;CS;CALABRIA;1726
ACQUARICA DEL CAPO;1;1989 ;Diss.;LE;PUGLIA;4689
ACQUARO;1;1991 ;Diss.;VV;CALABRIA;3293
ACQUEDOLCI;1;2018 ;Rieq.;ME;SICILIA;5663
ACRI;2;2014 ;Rieq.;CS;CALABRIA;21180
ACRI;;2016 ;Diss.;CS;CALABRIA;20858
ADRANO;1;2016 ;Rieq.;CT;SICILIA;36122
AFRAGOLA;1;2022 ;Diss.;NA;CAMPANIA;61712
AFRICO;1;1996 ;Diss.;RC;CALABRIA;3272
AGAZZANO;1;2022 ;Rieq.;PC;EMILIA ROMAGNA;1979
AIDONE;1;2020 ;Diss.;EN;SICILIA;4522
ALATRI;2;1991 ;Diss.;FR;LAZIO;25038
ALATRI;;2017 ;Rieq.;FR;LAZIO;28884
ALBIDONA;1;1994 ;Diss.;CS;CALABRIA;2012
ALBISOLA SUPERIORE;1;2021 ;Rieq.;SV;LIGURIA;9800
ALESSANDRIA;2;2012 ;Diss.;AL;PIEMONTE;89493
ALESSANDRIA;;2019 ;Rieq.;AL;PIEMONTE;93191
ALESSANDRIA DEL CARRETTO;1;1990 ;Diss.;CS;CALABRIA;952
ALEZIO;1;1989 ;Diss.;LE;PUGLIA;5140
ALI';1;1995 ;Diss.;ME;SICILIA;1047
ALIA;1;2021 ;Rieq.;PA;SICILIA;3314
ALIANO;1;1990 ;Diss.;MT;BASILICATA;1472
ALIFE;1;2017 ;Diss.;CE;CAMPANIA;7619
ALIMINUSA;1;2024 ;Diss.;PA;SICILIA;1019
ALLISTE;1;1993 ;Diss.;LE;PUGLIA;6230
ALTAVILLA SILENTINA;1;1992 ;Diss.;SA;CAMPANIA;6801
ALTILIA;3;1990 ;Diss.;CS;CALABRIA;744
ALTILIA;;2016 ;Rieq.;CS;CALABRIA;711
ALTILIA;;2020 ;Diss.;CS;CALABRIA;680
ALTOMONTE;1;1991 ;Diss.;CS;CALABRIA;4569
AMALFI;1;1994 ;Diss.;SA;CAMPANIA;5553
AMANTEA;2;2017 ;Diss.;CS;CALABRIA;14009
AMANTEA;;2022 ;Rieq.;CS;CALABRIA;13850
AMARONI;1;1989 ;Diss.;CZ;CALABRIA;2467
AMASENO;1;1990 ;Diss.;FR;LAZIO;3998
AMENDOLARA;3;1990 ;Diss.;CS;CALABRIA;3132
AMENDOLARA;;2020 ;Rieq.;CS;CALABRIA;2785
AMENDOLARA;;2022 ;Diss.;CS;CALABRIA;2719
AMOROSI;1;2021 ;Diss.;BN;CAMPANIA;2631
ANDRIA;1;2018 ;Rieq.;BT;PUGLIA;99857
ANOIA;2;2012 ;Rieq.;RC;CALABRIA;2254
ANOIA;;2013 ;Diss.;RC;CALABRIA;2245
APICE;1;2010 ;Diss.;BN;CAMPANIA;5766
APRIGLIANO;1;2024 ;Rieq.;CS;CALABRIA;2329
AQUINO;2;1995 ;Diss.;FR;LAZIO;5402
AQUINO;;2024 ;Rieq.;FR;LAZIO;4919
ARAGONA;1;2018 ;Diss.;AG;SICILIA;9409
ARDEA;3;1993 ;Diss.;RM;LAZIO;16810
ARDEA;;2017 ;Diss.;RM;LAZIO;49418
ARDEA;;2017 ;Rieq.;RM;LAZIO;49418
ARDORE;1;1995 ;Diss.;RC;CALABRIA;5034
ARGENTERA;1;2017 ;Diss.;CN;PIEMONTE;76
ARGUSTO;1;1989 ;Diss.;CZ;CALABRIA;531
ARI;3;2014 ;Diss.;CH;ABRUZZO;1182
ARI;;2018 ;Rieq.;CH;ABRUZZO;1148
ARI;;2025 ;Diss.;CH;ABRUZZO;1063
ARIENZO;1;2024 ;Rieq.;CE;CAMPANIA;5373
ARNESANO;1;1989 ;Diss.;LE;PUGLIA;3362
ARPAIA;2;1991 ;Diss.;BN;CAMPANIA;1754
ARPAIA;;2008 ;Diss.;BN;CAMPANIA;1928
ARPAISE;1;1999 ;Diss.;BN;CAMPANIA;888
ARPINO;2;2012 ;Rieq.;FR;LAZIO;7356
ARPINO;;2020 ;Diss.;FR;LAZIO;6943
ARRONE;1;2013 ;Rieq.;TR;UMBRIA;2843
ARTENA;1;2022 ;Rieq.;RM;LAZIO;13616
ARZANO;1;2022 ;Rieq.;NA;CAMPANIA;31977
ASCEA;2;1989 ;Diss.;SA;CAMPANIA;5236
ASCEA;;2021 ;Rieq.;SA;CAMPANIA;5898
ATRI;1;2025 ;Rieq.;TE;ABRUZZO;9830
AUGUSTA;3;2013 ;Rieq.;SR;SICILIA;36075
AUGUSTA;;2015 ;Diss.;SR;SICILIA;36490
AUGUSTA;;2015 ;Rieq.;SR;SICILIA;36490
AVELLINO;1;2019 ;Rieq.;AV;CAMPANIA;53762
AVERSA;1;2022 ;Rieq.;CE;CAMPANIA;49612
AVIGLIANO UMBRO;1;1994 ;Diss.;TR;UMBRIA;2324
AVOLA;1;2014 ;Rieq.;SR;SICILIA;31729
AZZANO MELLA;2;2013 ;Rieq.;BS;LOMBARDIA;3048
AZZANO MELLA;;2017 ;Diss.;BS;LOMBARDIA;3189
BACOLI;2;2015 ;Rieq.;NA;CAMPANIA;26723
BACOLI;;2018 ;Diss.;NA;CAMPANIA;26412
BADIA TEDALDA;1;1989 ;Diss.;AR;TOSCANA;1372
BADOLATO;2;1989 ;Diss.;CZ;CALABRIA;3705
BADOLATO;;2017 ;Diss.;CZ;CALABRIA;3046
BAGHERIA;2;2013 ;Rieq.;PA;SICILIA;54271
BAGHERIA;;2014 ;Diss.;PA;SICILIA;55854
BAGNARA CALABRA;1;2016 ;Diss.;RC;CALABRIA;10255
BAGNI DI LUCCA;1;1989 ;Diss.;LU;TOSCANA;7471
BAIA E LATINA;1;2011 ;Diss.;CE;CAMPANIA;2244
BALESTRATE;2;2022 ;Rieq.;PA;SICILIA;6229
BALESTRATE;;2024 ;Diss.;PA;SICILIA;6334
BALESTRINO;1;2023 ;Rieq.;SV;LIGURIA;528
BARANELLO;1;2013 ;Rieq.;CB;MOLISE;2686
BARBATA;1;1991 ;Diss.;BG;LOMBARDIA;525
BARCELLONA POZZO DI GOTTO;2;2018 ;Rieq.;ME;SICILIA;41389
BARCELLONA POZZO DI GOTTO;;2023 ;Diss.;ME;SICILIA;39878
BARNI;1;2011 ;Diss.;CO;LOMBARDIA;621
BARRAFRANCA;3;2015 ;Rieq.;EN;SICILIA;13541
BARRAFRANCA;;2016 ;Diss.;EN;SICILIA;13380
BARRAFRANCA;;2021 ;Diss.;EN;SICILIA;11887
BARZIO;1;2017 ;Rieq.;LC;LOMBARDIA;1349
BASCHI;1;1989 ;Diss.;TR;UMBRIA;2666
BASCIANO;1;1989 ;Diss.;TE;ABRUZZO;2182
BASSIANO;2;2023 ;Diss.;LT;LAZIO;1430
BASSIANO;;2023 ;Rieq.;LT;LAZIO;1430
BATTIPAGLIA;2;1993 ;Diss.;SA;CAMPANIA;48144
BATTIPAGLIA;;2012 ;Rieq.;SA;CAMPANIA;50450
BAUCINA;1;2020 ;Rieq.;PA;SICILIA;1898
BEDONIA;1;1994 ;Diss.;PR;EMILIA ROMAGNA;4297
BELCASTRO;2;2012 ;Rieq.;CZ;CALABRIA;1400
BELCASTRO;;2016 ;Diss.;CZ;CALABRIA;1399
BELGIOIOSO;1;2015 ;Rieq.;PV;LOMBARDIA;6208
BELLEGRA;3;1993 ;Diss.;RM;LAZIO;3143
BELLEGRA;;2014 ;Rieq.;RM;LAZIO;2932
BELLEGRA;;2017 ;Diss.;RM;LAZIO;2846
BELLOSGUARDO;1;1995 ;Diss.;SA;CAMPANIA;1107
BELMONTE MEZZAGNO;3;2012 ;Rieq.;PA;SICILIA;11182
BELMONTE MEZZAGNO;;2014 ;Rieq.;PA;SICILIA;11278
BELMONTE MEZZAGNO;;2020 ;Diss.;PA;SICILIA;11088
BELVEDERE MARITTIMO;1;2019 ;Diss.;CS;CALABRIA;9147
BENESTARE;2;2018 ;Rieq.;RC;CALABRIA;2562
BENESTARE;;2020 ;Diss.;RC;CALABRIA;2510
BENEVENTO;4;1993 ;Diss.;BN;CAMPANIA;62631
BENEVENTO;;2012 ;Rieq.;BN;CAMPANIA;61297
BENEVENTO;;2014 ;Rieq.;BN;CAMPANIA;60770
BENEVENTO;;2017 ;Diss.;BN;CAMPANIA;59945
BEREGUARDO;1;2024 ;Rieq.;PV;LOMBARDIA;2885
BERNALDA;1;1991 ;Diss.;MT;BASILICATA;12037
BIANCHI;1;1992 ;Diss.;CS;CALABRIA;1630
BIANCO;2;1989 ;Diss.;RC;CALABRIA;3865
BIANCO;;2017 ;Rieq.;RC;CALABRIA;4294
BIOGLIO;1;2023 ;Rieq.;BI;PIEMONTE;912
BISIGNANO;2;2016 ;Rieq.;CS;CALABRIA;10203
BISIGNANO;;2021 ;Diss.;CS;CALABRIA;9494
BIVONA;1;2023 ;Rieq.;AG;SICILIA;3129
BOCCHIGLIERO;1;1991 ;Diss.;CS;CALABRIA;3026
BOJANO;2;2018 ;Diss.;CB;MOLISE;8178
BOJANO;;2018 ;Rieq.;CB;MOLISE;8178
BOLOGNANO;2;2022 ;Diss.;PE;ABRUZZO;1002
BOLOGNANO;;2023 ;Rieq.;PE;ABRUZZO;1002
BOLOGNETTA;1;2018 ;Diss.;PA;SICILIA;4161
BONEA;1;1992 ;Diss.;BN;CAMPANIA;1546
BONIFATI;1;1990 ;Diss.;CS;CALABRIA;3587
BONITO;1;2021 ;Rieq.;AV;CAMPANIA;2212
BORGETTO;2;2016 ;Rieq.;PA;SICILIA;7419
BORGETTO;;2018 ;Diss.;PA;SICILIA;7374
BORGHETTO SANTO SPIRITO;1;2017 ;Rieq.;SV;LIGURIA;4850
BORGIA;2;1993 ;Diss.;CZ;CALABRIA;6632
BORGIA;;2016 ;Rieq.;CZ;CALABRIA;7611
BORGONOVO VAL TIDONE;1;2016 ;Rieq.;PC;EMILIA ROMAGNA;7892
BORGOROSE;2;2002 ;Diss.;RI;LAZIO;4518
BORGOROSE;;2021 ;Rieq.;RI;LAZIO;4222
BORMIDA;1;1992 ;Diss.;SV;LIGURIA;510
BOSCOREALE;2;1993 ;Diss.;NA;CAMPANIA;26936
BOSCOREALE;;2016 ;Rieq.;NA;CAMPANIA;28072
BOSCOTRECASE;1;1990 ;Diss.;NA;CAMPANIA;11328
BOTRICELLO;1;2016 ;Diss.;CZ;CALABRIA;5220
BOTRUGNO;1;1989 ;Diss.;LE;PUGLIA;3003
BOVA MARINA;2;2012 ;Diss.;RC;CALABRIA;4149
BOVA MARINA;;2022 ;Rieq.;RC;CALABRIA;4129
BOVALINO;3;1995 ;Diss.;RC;CALABRIA;8351
BOVALINO;;2013 ;Rieq.;RC;CALABRIA;8822
BOVALINO;;2017 ;Diss.;RC;CALABRIA;8896
BOVINO;1;2021 ;Rieq.;FG;PUGLIA;2985
BRACCIANO;1;2016 ;Rieq.;RM;LAZIO;19384
BRANCALEONE;3;1989 ;Diss.;RC;CALABRIA;4026
BRANCALEONE;;2018 ;Rieq.;RC;CALABRIA;3550
BRANCALEONE;;2020 ;Diss.;RC;CALABRIA;3408
BRIATICO;3;2011 ;Diss.;VV;CALABRIA;4016
BRIATICO;;2019 ;Diss.;VV;CALABRIA;4238
BRIATICO;;2019 ;Rieq.;VV;CALABRIA;4238
BRIGA NOVARESE;1;2013 ;Rieq.;NO;PIEMONTE;3019
BRINDISI;1;2019 ;Rieq.;BR;PUGLIA;85397
BROGNATURO;1;1989 ;Diss.;VV;CALABRIA;754
BROLO;2;2015 ;Diss.;ME;SICILIA;5855
BROLO;;2017 ;Diss.;ME;SICILIA;5739
BRUZZANO ZEFFIRIO;2;1989 ;Diss.;RC;CALABRIA;1862
BRUZZANO ZEFFIRIO;;2024 ;Diss.;RC;CALABRIA;1015
BUCCIANO;1;1990 ;Diss.;BN;CAMPANIA;1722
BUGNARA;1;1992 ;Diss.;AQ;ABRUZZO;1160
BUONABITACOLO;1;2017 ;Rieq.;SA;CAMPANIA;2547
BUONCONVENTO;1;2013 ;Rieq.;SI;TOSCANA;3233
BUSCEMI;1;2020 ;Diss.;SR;SICILIA;993
CACCAMO;3;2012 ;Rieq.;PA;SICILIA;8292
CACCAMO;;2014 ;Rieq.;PA;SICILIA;8267
CACCAMO;;2023 ;Diss.;PA;SICILIA;7612
CAIAZZO;1;2021 ;Rieq.;CE;CAMPANIA;5166
CAIVANO;1;2016 ;Diss.;NA;CAMPANIA;37879
CALATABIANO;1;2022 ;Diss.;CT;SICILIA;5121
CALCIANO;1;1989 ;Diss.;MT;BASILICATA;1008
CALICE AL CORNOVIGLIO;2;1991 ;Diss.;SP;LIGURIA;1290
CALICE AL CORNOVIGLIO;;2022 ;Rieq.;SP;LIGURIA;1079
CALIMERA;2;1989 ;Diss.;LE;PUGLIA;7208
CALIMERA;;2016 ;Rieq.;LE;PUGLIA;7159
CALIZZANO;1;2023 ;Rieq.;SV;LIGURIA;1439
CALOPEZZATI;2;1989 ;Diss.;CS;CALABRIA;1421
CALOPEZZATI;;2024 ;Diss.;CS;CALABRIA;1228
CALTAGIRONE;3;2013 ;Diss.;CT;SICILIA;38259
CALTAGIRONE;;2022 ;Diss.;CT;SICILIA;35765
CALTAGIRONE;;2022 ;Rieq.;CT;SICILIA;35765
CALVI;2;2014 ;Rieq.;BN;CAMPANIA;2663
CALVI;;2016 ;Diss.;BN;CAMPANIA;2682
CALVI RISORTA;2;2016 ;Diss.;CE;CAMPANIA;5707
CALVI RISORTA;;2016 ;Rieq.;CE;CAMPANIA;5707
CAMASTRA;1;2023 ;Diss.;AG;SICILIA;1992
CAMERATA NUOVA;1;2016 ;Rieq.;RM;LAZIO;447
CAMEROTA;1;2013 ;Rieq.;SA;CAMPANIA;6757
CAMIGLIANO;2;1993 ;Diss.;CE;CAMPANIA;1758
CAMIGLIANO;;2020 ;Rieq.;CE;CAMPANIA;1989
CAMINI;1;2010 ;Diss.;RC;CALABRIA;721
CAMPIONE D'ITALIA;4;2012 ;Rieq.;CO;LOMBARDIA;2140
CAMPIONE D'ITALIA;;2018 ;Diss.;CO;LOMBARDIA;1955
CAMPIONE D'ITALIA;;2018 ;Rieq.;CO;LOMBARDIA;1955
CAMPIONE D'ITALIA;;2021 ;Rieq.;CO;LOMBARDIA;1702
CAMPO TURES;1;2017 ;Rieq.;BZ;PROVINCIA DI BOLZANO;5390
CAMPOBELLO DI LICATA;1;2014 ;Rieq.;AG;SICILIA;10302
CAMPOBELLO DI MAZARA;2;2023 ;Rieq.;TP;SICILIA;11340
CAMPOBELLO DI MAZARA;;2024 ;Diss.;TP;SICILIA;11224
CAMPOFELICE DI ROCCELLA;1;2023 ;Rieq.;PA;SICILIA;7744
CAMPOLI DEL MONTE TABURNO;1;2025 ;Rieq.;BN;CAMPANIA;1677
CAMPOLIETO;1;2017 ;Rieq.;CB;MOLISE;863
CAMPOREALE;1;1990 ;Diss.;PA;SICILIA;4462
CAMPOROTONDO ETNEO;1;1994 ;Diss.;CT;SICILIA;2193
CANALE MONTERANO;1;1993 ;Diss.;RM;LAZIO;2814
CANCELLO ED ARNONE;2;2015 ;Diss.;CE;CAMPANIA;5663
CANCELLO ED ARNONE;;2018 ;Diss.;CE;CAMPANIA;5715
CANDIDA;1;1991 ;Diss.;AV;CAMPANIA;1042
CANICATTI';2;2018 ;Rieq.;AG;SICILIA;35722
CANICATTI';;2022 ;Diss.;AG;SICILIA;34449
CANICATTINI BAGNI;1;2022 ;Rieq.;SR;SICILIA;6517
CANNA;1;2023 ;Rieq.;CS;CALABRIA;609
CANTALUPO NEL SANNIO;1;1989 ;Diss.;IS;MOLISE;747
CANTERANO;1;1989 ;Diss.;RM;LAZIO;289
CAPACCIO;1;2024 ;Rieq.;SA;CAMPANIA;22412
CAPISTRANO;1;1992 ;Diss.;VV;CALABRIA;1302
CAPISTRELLO;1;2009 ;Diss.;AQ;ABRUZZO;5358
CAPIZZI;2;2023 ;Diss.;ME;SICILIA;2815
CAPIZZI;;2023 ;Rieq.;ME;SICILIA;2815
CAPO D'ORLANDO;1;2022 ;Rieq.;ME;SICILIA;13031
CAPODRISE;1;2023 ;Rieq.;CE;CAMPANIA;10030
CAPORCIANO;1;1991 ;Diss.;AQ;ABRUZZO;324
CAPUA;2;2013 ;Diss.;CE;CAMPANIA;18778
CAPUA;;2013 ;Rieq.;CE;CAMPANIA;18778
CARAFFA DI CATANZARO;2;2016 ;Rieq.;CZ;CALABRIA;1866
CARAFFA DI CATANZARO;;2020 ;Diss.;CZ;CALABRIA;1779
CARDETO;1;2018 ;Diss.;RC;CALABRIA;1562
CAREGGINE;1;1989 ;Diss.;LU;TOSCANA;711
CARERI;1;2019 ;Rieq.;RC;CALABRIA;2227
CARIATI;2;2013 ;Rieq.;CS;CALABRIA;8615
CARIATI;;2016 ;Diss.;CS;CALABRIA;8355
CARINI;2;2014 ;Rieq.;PA;SICILIA;37931
CARINI;;2016 ;Diss.;PA;SICILIA;38455
CARINOLA;2;2018 ;Rieq.;CE;CAMPANIA;7248
CARINOLA;;2022 ;Diss.;CE;CAMPANIA;7154
CARLANTINO;1;2020 ;Rieq.;FG;PUGLIA;910
CAROLEI;1;2018 ;Diss.;CS;CALABRIA;3375
CAROVIGNO;1;2019 ;Rieq.;BR;PUGLIA;17022
CARPEGNA;1;2017 ;Rieq.;PU;MARCHE;1686
CARPINETI;1;1991 ;Diss.;RE;EMILIA ROMAGNA;4026
CASABONA;1;2010 ;Diss.;KR;CALABRIA;2876
CASACANDITELLA;1;2022 ;Diss.;CH;ABRUZZO;1169
CASAL DI PRINCIPE;2;1990 ;Diss.;CE;CAMPANIA;18473
CASAL DI PRINCIPE;;2011 ;Diss.;CE;CAMPANIA;20849
CASALDUNI;3;2012 ;Rieq.;BN;CAMPANIA;1476
CASALDUNI;;2014 ;Diss.;BN;CAMPANIA;1419
CASALDUNI;;2023 ;Rieq.;BN;CAMPANIA;1178
CASALNUOVO DI NAPOLI;1;1992 ;Diss.;NA;CAMPANIA;32260
CASALUCE;1;2018 ;Rieq.;CE;CAMPANIA;9893
CASALVIERI;1;1995 ;Diss.;FR;LAZIO;3171
CASAMICCIOLA TERME;2;1993 ;Diss.;NA;CAMPANIA;6631
CASAMICCIOLA TERME;;2012 ;Rieq.;NA;CAMPANIA;8087
CASANDRINO;2;2018 ;Rieq.;NA;CAMPANIA;14125
CASANDRINO;;2019 ;Diss.;NA;CAMPANIA;13813
CASAPE;1;2022 ;Rieq.;RM;LAZIO;638
CASAPESENNA;2;1990 ;Diss.;CE;CAMPANIA;6753
CASAPESENNA;;2012 ;Diss.;CE;CAMPANIA;6651
CASARANO;2;2012 ;Rieq.;LE;PUGLIA;20461
CASARANO;;2014 ;Diss.;LE;PUGLIA;20413
CASASCO;1;1991 ;Diss.;AL;PIEMONTE;171
CASELLE LANDI;1;1991 ;Diss.;LO;LOMBARDIA;1824
CASERTA;3;2011 ;Diss.;CE;CAMPANIA;75531
CASERTA;;2016 ;Rieq.;CE;CAMPANIA;76326
CASERTA;;2018 ;Diss.;CE;CAMPANIA;75561
CASIGNANA;1;2021 ;Diss.;RC;CALABRIA;707
CASOLA DI NAPOLI;1;1990 ;Diss.;NA;CAMPANIA;3417
CASOLE D'ELSA;1;2019 ;Rieq.;SI;TOSCANA;3795
CASORIA;1;2020 ;Diss.;NA;CAMPANIA;74949
CASSANO ALLO IONIO;1;1992 ;Diss.;CS;CALABRIA;18571
CASSARO;1;2017 ;Diss.;SR;SICILIA;800
CASSINASCO;2;2023 ;Rieq.;AT;PIEMONTE;549
CASSINASCO;;2024 ;Diss.;AT;PIEMONTE;552
CASSINO;2;2013 ;Rieq.;FR;LAZIO;33703
CASSINO;;2018 ;Diss.;FR;LAZIO;36497
CASTEL CAMPAGNANO;4;1996 ;Diss.;CE;CAMPANIA;1641
CASTEL CAMPAGNANO;;2017 ;Diss.;CE;CAMPANIA;1556
CASTEL CAMPAGNANO;;2019 ;Rieq.;CE;CAMPANIA;1494
CASTEL CAMPAGNANO;;2020 ;Rieq.;CE;CAMPANIA;1502
CASTEL MADAMA;1;2023 ;Rieq.;RM;LAZIO;7047
CASTEL MORRONE;2;2019 ;Rieq.;CE;CAMPANIA;3710
CASTEL MORRONE;;2024 ;Diss.;CE;CAMPANIA;3568
CASTEL SAN LORENZO;1;1989 ;Diss.;SA;CAMPANIA;3313
CASTEL SAN VINCENZO;1;1992 ;Diss.;IS;MOLISE;590
CASTEL SANT'ANGELO;1;1995 ;Diss.;RI;LAZIO;1240
CASTEL VOLTURNO;2;2011 ;Diss.;CE;CAMPANIA;22781
CASTEL VOLTURNO;;2024 ;Rieq.;CE;CAMPANIA;30686
CASTELDACCIA;2;2016 ;Rieq.;PA;SICILIA;11685
CASTELDACCIA;;2017 ;Diss.;PA;SICILIA;11641
CASTELL'ALFERO;1;2013 ;Rieq.;AT;PIEMONTE;2771
CASTELLAMMARE DI STABIA;1;2013 ;Diss.;NA;CAMPANIA;65929
CASTELLANETA;1;2016 ;Rieq.;TA;PUGLIA;17170
CASTELLARANO;1;2013 ;Rieq.;RE;EMILIA ROMAGNA;15236
CASTELLINO DEL BIFERNO;2;2015 ;Rieq.;CB;MOLISE;556
CASTELLINO DEL BIFERNO;;2016 ;Diss.;CB;MOLISE;545
CASTELLUCCIO DEI SAURI;1;2014 ;Rieq.;FG;PUGLIA;2143
CASTELPOTO;1;1991 ;Diss.;BN;CAMPANIA;1630
CASTELTERMINI;2;2016 ;Diss.;AG;SICILIA;8267
CASTELTERMINI;;2016 ;Rieq.;AG;SICILIA;8267
CASTELVETRANO;1;2019 ;Diss.;TP;SICILIA;30806
CASTIGLION FIORENTINO;1;2011 ;Diss.;AR;TOSCANA;13174
CASTIGLIONE DI SICILIA;1;2024 ;Diss.;CT;SICILIA;2855
CASTIGLIONE OLONA;1;2015 ;Rieq.;VA;LOMBARDIA;7754
CASTRI DI LECCE;1;1989 ;Diss.;LE;PUGLIA;2977
CASTROCIELO;1;2023 ;Rieq.;FR;LAZIO;3780
CASTROFILIPPO;1;1992 ;Diss.;AG;SICILIA;3580
CASTROLIBERO;1;1995 ;Diss.;CS;CALABRIA;10290
CASTROVILLARI;2;2012 ;Rieq.;CS;CALABRIA;22504
CASTROVILLARI;;2019 ;Diss.;CS;CALABRIA;21855
CATANIA;2;2012 ;Rieq.;CT;SICILIA;293104
CATANIA;;2018 ;Diss.;CT;SICILIA;311620
CATENANUOVA;1;1999 ;Diss.;EN;SICILIA;4940
CAULONIA;3;1993 ;Diss.;RC;CALABRIA;8205
CAULONIA;;2018 ;Diss.;RC;CALABRIA;7110
CAULONIA;;2022 ;Rieq.;RC;CALABRIA;6783
CAVA DE' TIRRENI;1;2022 ;Rieq.;SA;CAMPANIA;50539
CAVALLASCA;1;2016 ;Rieq.;CO;LOMBARDIA;2973
CAVALLINO;1;1989 ;Diss.;LE;PUGLIA;8643
CAVE;1;1994 ;Diss.;RM;LAZIO;8975
CECCANO;1;2021 ;Rieq.;FR;LAZIO;22494
CEFALA' DIANA;1;2023 ;Rieq.;PA;SICILIA;976
CEFALU';2;2012 ;Rieq.;PA;SICILIA;14330
CEFALU';;2015 ;Diss.;PA;SICILIA;14452
CENADI;2;2024 ;Diss.;CZ;CALABRIA;496
CENADI;;2024 ;Rieq.;CZ;CALABRIA;496
CENTRACHE;1;2019 ;Rieq.;CZ;CALABRIA;372
CENTURIPE;1;2018 ;Rieq.;EN;SICILIA;5373
CEPPALONI;2;1990 ;Diss.;BN;CAMPANIA;3355
CEPPALONI;;2022 ;Rieq.;BN;CAMPANIA;3168
CEPRANO;1;2017 ;Rieq.;FR;LAZIO;8875
CERCEPICCOLA;1;2019 ;Rieq.;CB;MOLISE;641
CERCHIARA DI CALABRIA;2;1993 ;Diss.;CS;CALABRIA;3119
CERCHIARA DI CALABRIA;;2019 ;Diss.;CS;CALABRIA;2336
CERDA;2;2016 ;Rieq.;PA;SICILIA;5330
CERDA;;2017 ;Diss.;PA;SICILIA;5235
CERENZIA;1;1992 ;Diss.;KR;CALABRIA;1332
CERETTO LOMELLINA;1;2022 ;Diss.;PV;LOMBARDIA;184
CERISANO;3;1994 ;Diss.;CS;CALABRIA;3143
CERISANO;;2013 ;Rieq.;CS;CALABRIA;3281
CERISANO;;2014 ;Diss.;CS;CALABRIA;3259
CERRETO SANNITA;3;2013 ;Rieq.;BN;CAMPANIA;4034
CERRETO SANNITA;;2014 ;Rieq.;BN;CAMPANIA;4021
CERRETO SANNITA;;2015 ;Diss.;BN;CAMPANIA;3973
CERVICATI;1;1989 ;Diss.;CS;CALABRIA;994
CERVINO;1;1989 ;Diss.;CE;CAMPANIA;4503
CERZETO;1;1990 ;Diss.;CS;CALABRIA;2242
CESA;1;1993 ;Diss.;CE;CAMPANIA;6972
CETRARO;3;1989 ;Diss.;CS;CALABRIA;10706
CETRARO;;2021 ;Rieq.;CS;CALABRIA;9398
CETRARO;;2024 ;Diss.;CS;CALABRIA;9300
CHIANCHE;1;1994 ;Diss.;AV;CAMPANIA;698
CHIARAMONTE GULFI;3;1989 ;Diss.;RG;SICILIA;8251
CHIARAMONTE GULFI;;2023 ;Diss.;RG;SICILIA;8019
CHIARAMONTE GULFI;;2023 ;Rieq.;RG;SICILIA;8019
CHIARAVALLE CENTRALE;3;2012 ;Rieq.;CZ;CALABRIA;5863
CHIARAVALLE CENTRALE;;2014 ;Diss.;CZ;CALABRIA;5877
CHIARAVALLE CENTRALE;;2014 ;Rieq.;CZ;CALABRIA;5877
CHIETI;3;1993 ;Diss.;CH;ABRUZZO;55644
CHIETI;;2020 ;Rieq.;CH;ABRUZZO;50287
CHIETI;;2023 ;Diss.;CH;ABRUZZO;48585
CHIEUTI;1;2017 ;Diss.;FG;PUGLIA;1679
CHIOGGIA;1;1989 ;Diss.;VE;VENETO;53523
CICALA;1;2024 ;Rieq.;CZ;CALABRIA;838
CICCIANO;1;2017 ;Rieq.;NA;CAMPANIA;12898
CIMINA';1;1990 ;Diss.;RC;CALABRIA;787
CINQUEFRONDI;1;2022 ;Rieq.;RC;CALABRIA;6223
CIRO';1;2001 ;Diss.;KR;CALABRIA;3614
CIRO' MARINA;2;2012 ;Diss.;KR;CALABRIA;15099
CIRO' MARINA;;2016 ;Diss.;KR;CALABRIA;14902
CIVENNA;1;1989 ;Diss.;CO;LOMBARDIA;612
CIVITA;1;1989 ;Diss.;CS;CALABRIA;1260
CIVITALUPARELLA;2;2014 ;Rieq.;CH;ABRUZZO;359
CIVITALUPARELLA;;2015 ;Diss.;CH;ABRUZZO;358
CIVITELLA MESSER RAIMONDO;1;2015 ;Diss.;CH;ABRUZZO;866
CLETO;1;1993 ;Diss.;CS;CALABRIA;1450
COLLAGNA;1;1991 ;Diss.;RE;EMILIA ROMAGNA;1112
COLLEPIETRO;1;1991 ;Diss.;AQ;ABRUZZO;364
COLOBRARO;1;1989 ;Diss.;MT;BASILICATA;1786
COLONNA;1;1994 ;Diss.;RM;LAZIO;3197
COLOSIMI;1;2013 ;Rieq.;CS;CALABRIA;1284
COLZATE;1;2023 ;Rieq.;BG;LOMBARDIA;1619
