BDAP,NORD-EST,ISOLE,NORD-OVEST,SUD,CENTRO
143042930462302501,0,0,0,0,1
143342930519396801,0,0,0,1,0
143442930473411701,1,0,0,0,0
143542930508193002,0,0,1,0,0
143942930476759202,1,0,0,0,0
143942930547024101,1,0,0,0,0
144042930518784002,0,0,0,1,0
144142930516627302,0,1,0,0,0
144242928758061801,0,0,0,0,1
144342930516888102,0,0,1,0,0
144342930536405301,0,0,0,1,0
144342930546083402,0,0,1,0,0
144442930475711802,0,0,0,0,1
144542930477317802,0,0,0,1,0
144642930465883002,0,0,1,0,0
144642930473806401,1,0,0,0,0
144642930532617302,0,0,1,0,0
144742930542766901,0,0,0,1,0
144842930530614201,0,0,1,0,0
144942930519506501,0,0,0,0,1
145042930473345201,0,0,1,0,0
145042930516473101,0,0,1,0,0
145142930461490302,0,0,1,0,0
145242930530017602,1,0,0,0,0
145342929703889902,0,1,0,0,0
145542930449651701,0,0,0,0,1
145542930461706001,0,0,0,0,1
145542930537934402,0,0,1,0,0
145642930539008501,0,0,1,0,0
145842930447522202,0,0,0,1,0
145842930541202802,0,0,1,0,0
145942929820831802,0,0,1,0,0
146142930450300301,0,0,0,1,0
146142930463763601,1,0,0,0,0
146242930520059602,0,0,1,0,0
146542930451341801,1,0,0,0,0
146642930536166401,0,0,1,0,0
146642930542554401,0,0,0,0,1
146742930476644701,0,0,0,0,1
146742930509457302,0,1,0,0,0
146842930530364101,1,0,0,0,0
146842930542607102,0,1,0,0,0
146942928726482201,0,0,1,0,0
147042929295093101,0,0,0,1,0
147042930517911201,1,0,0,0,0
147342930463839802,0,0,0,0,1
147442930452303701,0,0,0,1,0
147442930533789501,0,0,1,0,0
147542930462402502,0,1,0,0,0
147642929372880402,1,0,0,0,0
147642930528895902,0,0,0,1,0
147842930535076502,0,0,1,0,0
148042930511023901,0,0,0,1,0
148142930539768402,1,0,0,0,0
148242929249038602,0,0,0,1,0
148342930537454201,0,0,1,0,0
148542930479380901,0,0,0,1,0
148642930479971702,0,1,0,0,0
148942930528636601,0,0,0,1,0
149042930519576702,0,0,1,0,0
149242930469838702,0,0,1,0,0
149242930523100401,0,0,0,1,0
149242930528314001,1,0,0,0,0
149242930538102502,0,0,1,0,0
149342930456788201,0,0,0,1,0
149542928726666202,0,0,0,1,0
149642928653501701,0,0,1,0,0
149642930464155901,0,0,1,0,0
149842930518260702,1,0,0,0,0
149842930550702801,1,0,0,0,0
151342930508974301,1,0,0,0,0
151542930475519001,0,0,1,0,0
151742927963730101,0,0,1,0,0
151842930448135701,0,0,1,0,0
151842930463750102,0,1,0,0,0
151942930544978002,0,0,1,0,0
152042930464035102,0,0,1,0,0
152042930477182301,0,0,1,0,0
152042930531609501,0,0,0,1,0
152142930534314602,0,0,0,1,0
152242930543096402,0,0,0,0,1
152342928770281901,0,0,1,0,0
152342930450686901,0,0,1,0,0
152542930476846501,0,1,0,0,0
153142930542972702,0,0,0,1,0
153342930458996002,0,1,0,0,0
153342930475440202,1,0,0,0,0
153442930467893301,1,0,0,0,0
153642930449164501,0,0,0,1,0
153642930516703902,0,0,0,0,1
153842930524916302,0,0,1,0,0
153942930516129101,0,0,0,0,1
154142928025264602,0,0,1,0,0
154142930537343902,0,0,1,0,0
154342930515951901,0,0,1,0,0
154342930521332601,0,1,0,0,0
154342930532730101,0,1,0,0,0
154342930544862901,0,0,1,0,0
154442930342690301,0,0,0,1,0
154542930547669701,0,0,0,0,1
154642930450207102,0,0,0,0,1
154642930453645502,0,1,0,0,0
154742928946604302,1,0,0,0,0
154842930457094601,0,1,0,0,0
154942930521003602,0,1,0,0,0
155042930546029701,0,0,0,1,0
155142930532843201,0,0,1,0,0
155342930473738501,0,1,0,0,0
155442928135508801,0,0,0,1,0
155442930458741801,0,0,1,0,0
155442930546716402,0,0,0,0,1
155542930467099901,0,1,0,0,0
155642930519275401,0,1,0,0,0
155642930546746501,1,0,0,0,0
155942930517438602,0,0,1,0,0
155942930525766602,1,0,0,0,0
156042930537289702,0,0,0,1,0
156342930522775202,1,0,0,0,0
156642929575390702,0,0,1,0,0
156742930529460202,0,0,0,1,0
156842930516325302,0,0,1,0,0
156942930521143101,0,0,0,1,0
157042928932618502,0,1,0,0,0
157042930474743902,0,0,0,1,0
157242930550208302,0,0,1,0,0
157342930469553702,0,0,0,1,0
157442930527548402,0,0,0,0,1
157642930523961501,0,0,0,1,0
157742930545228701,0,0,0,1,0
157842930467986402,1,0,0,0,0
157842930474296502,1,0,0,0,0
157842930529640802,0,0,1,0,0
157942930475444302,1,0,0,0,0
158042930463092601,0,0,0,0,1
158042930478706402,1,0,0,0,0
158142929189241902,1,0,0,0,0
158242927979933702,0,0,0,1,0
158342930478366301,0,0,1,0,0
158342930516054701,0,0,1,0,0
158342930526117801,0,0,0,1,0
158442930519045901,0,0,0,1,0
158742930467019501,1,0,0,0,0
158742930533543501,0,0,0,0,1
158742930541831501,0,0,0,1,0
158842930544096501,0,0,0,0,1
158942930510998002,0,0,0,1,0
158942930526499202,0,0,1,0,0
159142928135435302,1,0,0,0,0
159142930465136102,1,0,0,0,0
159342930458732502,0,0,1,0,0
159342930525299201,0,0,0,1,0
159442930509101502,0,0,1,0,0
159542930515787101,0,0,1,0,0
159642929166032802,0,0,1,0,0
159642930549182602,0,0,0,1,0
159842930524167302,0,0,1,0,0
161142930541557502,1,0,0,0,0
161542929309260302,1,0,0,0,0
161542930531648401,0,0,0,0,1
161642930467750602,0,0,1,0,0
161642930549932401,0,0,0,1,0
161742930524729901,0,0,1,0,0
161942930445609901,0,0,0,1,0
161942930458787802,0,0,0,1,0
161942930533316402,1,0,0,0,0
162042930527284502,0,0,1,0,0
162242930545636301,0,1,0,0,0
162342930453250801,0,0,0,1,0
162342930454060301,0,0,0,0,1
162442930530754802,0,0,0,1,0
162442930531321102,0,0,0,1,0
162542930549518202,0,0,1,0,0
162642928676339002,0,0,0,1,0
162742930541386401,0,0,0,0,1
163342930450908301,1,0,0,0,0
163342930473979502,0,0,1,0,0
163442930530935502,0,0,0,0,1
163442930539694902,0,0,0,1,0
163942930544633802,0,0,0,0,1
164042930460051801,0,0,1,0,0
164142930540465502,1,0,0,0,0
164242930447341201,1,0,0,0,0
164442929816278102,0,0,0,0,1
164442930540918602,0,1,0,0,0
164542930519765302,0,0,1,0,0
164642930461808702,0,0,0,0,1
164642930463614001,0,0,0,0,1
164942930533952001,0,0,0,1,0
165442928043802902,0,0,1,0,0
165442930517273502,0,0,0,1,0
165542930460232502,0,0,1,0,0
165542930549612201,0,0,0,0,1
165742929341386202,0,0,1,0,0
165742930508698002,0,1,0,0,0
165742930532248602,0,0,0,1,0
165842930012164202,0,0,0,0,1
165842930455941702,0,1,0,0,0
165842930518748802,0,0,1,0,0
166042930524047202,0,0,0,1,0
166342930527989502,0,0,1,0,0
166542930474173501,0,0,0,1,0
166642930509729801,0,0,1,0,0
166842930477693702,0,0,0,1,0
166942930446842501,0,0,1,0,0
166942930516676602,1,0,0,0,0
167142929091270702,0,0,1,0,0
167142929091319102,0,0,1,0,0
167242930473687902,0,0,0,1,0
167242930550454301,0,0,1,0,0
167342930453887901,0,0,0,1,0
167342930476156602,0,0,0,0,1
167342930531512902,0,0,0,0,1
167442930473715802,0,0,1,0,0
167442930524318301,0,0,1,0,0
167542929021132401,1,0,0,0,0
167642929703741002,0,0,1,0,0
167642929946319602,0,0,1,0,0
167642930464043701,0,1,0,0,0
167842930517704901,0,0,1,0,0
167942930451477101,0,0,0,1,0
167942930460089502,0,0,1,0,0
167942930530333001,0,1,0,0,0
168142930510642701,0,0,1,0,0
168242930517025502,0,0,0,1,0
168342929385464201,0,0,1,0,0
168342930519986502,0,0,1,0,0
168442927948912302,1,0,0,0,0
168542929456942701,1,0,0,0,0
168542930515726001,0,0,1,0,0
168542930533980102,0,1,0,0,0
168642930529431702,0,0,1,0,0
168842929687124301,0,0,0,1,0
168942930531666302,0,0,0,1,0
168942930549296402,1,0,0,0,0
169242930452916401,0,1,0,0,0
169442930525777302,0,0,0,0,1
169542930460793202,0,0,1,0,0
169542930526167301,0,0,0,1,0
169542930531102902,0,0,0,1,0
169642930544551501,0,0,0,1,0
169742930545230402,0,0,1,0,0
169842930460896602,0,0,1,0,0
169842930525450402,0,0,1,0,0
169942928779211601,0,0,0,0,1
171242930451390501,1,0,0,0,0
171442930537661702,0,0,0,0,1
171542930474857101,0,0,1,0,0
171642930528089402,0,0,1,0,0
171642930545331501,0,1,0,0,0
171642930548872901,0,0,1,0,0
171742930469562402,0,0,0,0,1
171742930547131501,0,0,0,0,1
171842930464726602,0,0,0,1,0
171842930474320601,0,0,1,0,0
171942930537327601,0,0,1,0,0
172242930457255402,0,0,0,1,0
172342930453413201,0,0,1,0,0
172342930526656302,0,0,0,1,0
172442930461991502,1,0,0,0,0
172442930516550001,0,0,1,0,0
172442930519165302,0,0,1,0,0
172442930532392601,1,0,0,0,0
172542930479622601,0,0,1,0,0
172642930519336001,1,0,0,0,0
172742930527843301,0,0,0,1,0
172942930455034402,1,0,0,0,0
172942930519421902,0,0,1,0,0
173042930533913101,0,0,1,0,0
173142928932478502,0,0,1,0,0
173142930531959201,0,0,1,0,0
173242930458027501,0,0,1,0,0
173342930511232501,0,0,1,0,0
173342930526722801,0,0,1,0,0
173742930479305901,0,0,1,0,0
173742930534262602,0,0,1,0,0
173842930533276002,0,1,0,0,0
174042930461713401,1,0,0,0,0
174042930516249201,0,0,1,0,0
174042930548710301,0,0,0,0,1
174242929514158301,0,0,0,1,0
174242930538951702,0,0,0,0,1
174442930054961402,0,0,0,0,1
174542930452423502,1,0,0,0,0
174642929385350302,1,0,0,0,0
174742928236055201,0,1,0,0,0
174842930469978501,0,0,0,1,0
174842930478757801,0,1,0,0,0
174942930455252701,0,0,1,0,0
174942930529771102,0,0,0,0,1
175042930541851802,0,1,0,0,0
175042930546232402,0,0,1,0,0
175142930455190102,0,0,0,0,1
175142930480181001,1,0,0,0,0
175142930529037101,0,0,0,1,0
175342930454055602,0,0,1,0,0
175342930457543401,1,0,0,0,0
175342930508312801,0,0,0,1,0
175442930515676102,0,0,0,1,0
175442930523935601,0,0,0,0,1
175442930525537602,0,0,1,0,0
175542930517516502,0,0,1,0,0
175842930518895102,0,0,0,0,1
175842930522254701,0,0,0,0,1
176042930544553402,0,0,0,1,0
176142930480559002,0,0,0,1,0
176242930523833802,1,0,0,0,0
176342929201182702,0,0,0,1,0
176442928242942002,0,0,0,1,0
176442930548703702,0,1,0,0,0
176542930469300802,0,0,0,0,1
176642930543382501,1,0,0,0,0
176742930477931002,0,0,1,0,0
176942930476904801,0,0,1,0,0
176942930478602102,0,0,1,0,0
177042930546702502,1,0,0,0,0
177342930462158901,1,0,0,0,0
177342930530273402,0,0,0,1,0
177342930546684601,0,1,0,0,0
177542930508507301,0,0,1,0,0
177642930453702301,0,0,0,1,0
177742930456060701,0,0,1,0,0
177842930460193901,1,0,0,0,0
178042930479266802,0,0,1,0,0
178142930462707102,0,0,1,0,0
178142930528847201,1,0,0,0,0
178142930543623401,0,0,1,0,0
178542930476543901,0,0,0,1,0
178642930459055902,0,0,0,0,1
178642930460996501,0,0,0,0,1
178642930528419301,0,0,1,0,0
178842928062695402,0,1,0,0,0
178942930474454801,0,1,0,0,0
179142930463396901,0,1,0,0,0
179342928213854001,1,0,0,0,0
179342930546197102,1,0,0,0,0
179542930525133101,1,0,0,0,0
179842930449428701,0,0,0,1,0
179842930510259202,0,0,0,0,1
179842930538524902,0,0,0,1,0
179942930549169901,0,0,0,1,0
181142929703907301,0,0,0,1,0
181142930523877701,0,0,0,1,0
181142930527486402,0,1,0,0,0
181242930509374402,0,0,1,0,0
181342930521827301,0,0,0,0,1
181442930476085601,0,0,0,1,0
181442930543003101,0,0,1,0,0
181642930464002802,0,0,1,0,0
181742930531711401,0,0,0,0,1
182242930537956102,0,1,0,0,0
182342929012808301,0,0,1,0,0
182342930541689202,0,0,1,0,0
182442930456071301,0,0,0,0,1
182942930469857701,0,0,1,0,0
183042930475213801,0,0,0,1,0
183042930517930602,0,1,0,0,0
183042930530573402,1,0,0,0,0
183142930518918701,0,0,1,0,0
183542930509064901,1,0,0,0,0
183642930531972901,0,0,0,0,1
183742930525710802,0,0,0,1,0
183742930527080001,0,0,0,1,0
184142930507781401,0,0,1,0,0
184242930458791701,1,0,0,0,0
184442930455796202,0,0,0,1,0
184442930517219702,0,0,1,0,0
184442930544068301,1,0,0,0,0
