Attivo_2008,Attivo_2009,Attivo_2010,Attivo_2011,Attivo_2012,Attivo_2013,Attivo_2014,Attivo_2015,Attivo_2016,Attivo_2017,Attivo_2018,Attivo_2019,Attivo_2020,Attivo_2021,Attivo_2022,Attivo_2023
14251123.0,15310294.0,17490454.0,19686705.0,27454061.330000002,28214678.47,28802487.39,29264876.75,32046733.44,34828590.13,37610446.82,44245021.48,44204754.26,45314880.25,48060378.35,48612266.09
2442836.0,2657393.0,2910841.0,2946852.0,3239040.64,3291950.19,3362871.5300000003,375021.24,1473914.0433333335,2572806.8466666667,3671699.65,3448287.86,3646046.4,4129460.49,4427811.49,4837042.85
35490537.0,37060320.0,33559406.0,33404567.0,32283342.08,34234181.28,33358281.46,34192111.42,35453802.07333334,36715492.72666667,37977183.38,36399106.71,35714558.02,35774198.43,39681689.7,47032015.07
18399974.18,18399974.18,18399974.18,18399974.18,18399974.18,18399974.18,18399974.18,18399974.18,18399974.18,18399974.18,18399974.18,18399974.18,18399974.18,19850784.32,22708735.44,23223135.14
26373972.0,26706185.0,27477395.0,26978021.0,29950101.0,31294564.7,29402141.310000002,27845666.64,27450873.02,26787932.36,27832731.08,29364097.17,30876208.17,41474960.83,43085410.28,44000315.92
18406804.0,18246443.0,18415339.0,18329474.0,18162245.779999997,17976208.61,17321635.959999997,15651287.99,15828420.965,16005553.940000001,16182686.915000001,16359819.89,17594946.34,17073990.35,14850468.04,15843336.53
8727963.0,8486183.0,8756437.0,9716013.0,10160636.139999999,9923510.47,9515479.94,9266499.42,9415947.76,9565396.1,9714844.44,9777616.41,10246263.19,10188792.12,10748238.94,12989102.64
15933607.0,19696635.0,19929244.0,19855622.0,19715049.51,19468359.490000002,18770253.1,18303256.220000003,18319160.403333336,18335064.586666666,18350968.77,18901785.46,19402069.77,20085227.69,20910902.31,20931866.93
11249825.0,10806764.0,9155925.0,7615680.0,7737338.91,7995118.92,8299930.02,7201503.77,6774312.163333333,6347120.556666667,5919928.95,9899124.14,10626710.9,12886867.25,13735120.96,18226366.89
76510914.0,74632393.0,74466527.0,74482134.0,74351593.32,75788580.81,79233552.36,75476637.23,79170230.92,80071304.14,87937607.33,96677547.84,99328802.89,100385672.63,99514279.49,118546760.22
74956675.0,70982668.0,71939805.0,72640736.0,73370285.38,72780445.76,71667529.89,72002493.31,72474586.67,72617679.73,72634562.73,74176418.36,76535347.1,85205874.49,88221480.81,92771654.15
4356469.0,4563556.0,4623787.0,5386542.0,5409306.0,5376186.0,5266270.23,5586669.699999999,5121012.319999999,4655354.9399999995,4189697.56,4730144.58,4423754.75,4355791.51,4464897.91,4415752.9
11436278.81,11436278.81,11436278.81,11436278.81,11436278.81,11436278.81,11436278.81,11436278.81,11436278.81,11436278.81,11436278.81,11436278.81,11436278.81,11676647.58,11113871.83,12112116.99
21751334.0,22519961.0,25092420.0,23842464.0,24901220.44,103235611.36,107576861.29,136016523.05,164456184.81,163426030.8,164105621.92,162721912.09,169480725.79,178528900.59,178528900.59,178528900.59
1577167827.0,1610558080.0,1555949821.0,1560961047.0,902575294.87,934064595.37,965553895.87,1014656730.9399999,868481993.54,1071151041.1,1122260360.52,1202712053.95,1291800284.8,1284182272.21,1362910885.16,1448411731.26
5409461.0,5264228.0,5526310.0,5016541.0,4028733.9800000004,4078028.6999999997,3584428.4299999997,3536491.14,4579164.326666667,5621837.513333334,6664510.7,5952581.31,5748717.15,5746121.32,6599301.14,6666808.76
41011225.0,42001065.0,42947452.0,41508213.0,40323362.0,35121487.42,35531527.39,34017252.120000005,31566983.94,32001210.68,33063436.46,32378690.95,34827154.18,37243457.07,39997827.72,45583841.19
13298206.0,12874630.0,12591153.0,14731620.0,15209803.27,15713099.05,16061500.180000002,16066652.299999999,15598289.8,16474406.205,17350522.61,17498875.93,19328636.24,19290393.36,20047619.23,22392874.8
1898471.0,1648323.0,1703406.0,1687515.0,1945324.86,2806158.1999999997,2810099.1,2703029.32,2715650.735,2728272.15,2831302.94,2296921.65,2564763.69,2780820.29,2764332.9,2914622.94
148384920.0,154700430.0,156089109.0,154728369.0,155948229.89000002,160610717.01000002,160559581.77,161099288.28999996,178925181.58,179539163.6,178358513.73,178161534.92,181406393.12,185784370.16,197927585.8,193817784.92
11309183.0,11634407.0,12192845.0,12342764.0,12133265.18,12836387.14,12959085.610000001,13442838.760000002,11399067.240000002,9355295.72,10156896.21,10189846.82,11270063.29,13993670.01,17187878.02,18363435.14
9092282.0,9519179.0,8674416.0,7865913.0,7357005.32,6621852.079999999,6274596.35,6638992.26,6910689.75,7182387.24,7496995.3,7780041.92,8237453.85,8754489.43,8995920.37,9226218.77
129207534.0,175547025.0,173396150.0,170565256.0,168392151.2,163337935.6,160949831.1,154040111.37,171025393.08,171489689.4,171336081.34,170728024.8,176813444.64,178408361.6,181083134.86,189099898.85
5000918.0,5617751.0,4648255.0,4550614.0,5130768.23,5088087.0,5609728.720000001,5310317.15,4528997.5825000005,3747678.015,2966358.4475,2185038.88,3667065.77,4049523.34,4345415.6,6791940.63
11144236.0,11859322.0,12562107.0,12918836.0,12804353.600000001,12361036.65,11468851.55,10924191.739999998,10961854.325,10999516.91,11037179.495,11074842.08,11276326.51,11558506.81,12401101.06,12346949.08
69257472.0,69986277.0,72391189.0,72818904.0,75072674.07,94013223.68999998,81337985.57,87479848.06,93697671.795,99915495.53,102502875.54,101118895.48,109792900.98,114134923.01,124834181.09,128493905.24
8125556.0,7975476.0,7143139.0,6462764.0,6585888.45,6786010.76,6629929.93,6611739.97,5563432.0675,4515124.165,3466816.2624999997,2418508.36,3688880.96,4775702.75,6121639.71,6956106.09
28222382.0,29792529.0,29271646.0,30526469.0,31191600.57,31962500.57,41250480.879999995,29183974.22,30469216.61,31754459.0,33944233.59,36134008.18,37163760.07,36860399.35,37016799.97,39416102.75
2912196.0,3461479.0,3752464.0,3714733.0,3597511.41,3806117.5799999996,3674026.72,3760640.4499999997,3873502.61,3986364.77,4177178.95,4493998.69,5608236.12,6456420.19,7025314.1,7717353.55
9049759.0,9061602.0,8777882.0,8791629.0,8995973.78,9072382.09,8437985.0975,7803588.105,7169191.1125,6534794.12,11289747.69,12020292.09,12097362.03,12164333.54,11887045.63,12179336.56
4475609.0,5283202.0,5416926.0,6737564.0,6626371.82,6697580.0,6735046.9,6634305.380000001,6668661.48,6703017.58,6527118.04,6552818.74,6838857.17,8323371.22,8175711.06,8400397.5
5785984.0,5104125.0,5359027.0,5976924.0,6159436.390000001,6128552.01,5924205.159999999,5996888.630000001,5979938.535,5962988.44,6088778.69,6180302.9,6736026.36,6814713.93,7153562.01,7402971.06
11545239.0,12409524.0,12526639.0,13537331.0,14889917.219999999,15621881.75,18560944.55,13803218.65,13994734.370000001,14186250.09,14377765.81,16583501.53,17957527.48,23351424.78,22929464.58,18638969.68
5878369.0,9031901.0,11136846.0,11982166.0,12298874.229999999,10772734.88,10841981.46,10285927.89,11523843.22,12761758.55,13999673.88,14076084.87,14522282.52,12606644.45,12864511.99,15032792.94
1168441.0,1191333.0,1166236.0,1164918.0,1240941.93,1258460.24,2170477.1399999997,2103938.35,1615400.6175000002,1126862.885,638325.1525,149787.42,1254571.6,1349540.63,1479245.55,1359930.55
24779387.0,25360615.0,25606680.0,24903133.0,25164772.73,25610614.15,25322452.04,25572669.93,27142201.59,27347518.17,28026701.35,29016697.28,31290158.61,32773317.0,34046679.36,34636398.71
541992088.0,559480799.0,604771946.0,619519125.0,643791732.4100001,552689903.33,562427428.0,553140110.66,450360191.32,472828043.1,477192809.06,477882730.77,485108682.71,489257097.74,525501632.98,540866910.42
5214352.0,5727647.0,6038839.0,7050249.0,8289737.5600000005,8236912.7,8470536.270000001,8409295.610000001,8532774.280000001,8656252.95,9184300.58,9038633.92,9200423.65,9354115.8,9287187.15,10188255.87
29964287.0,29964287.0,31820645.0,33044672.0,32924155.9,33466688.359999996,33128432.66,31282704.83,32256947.7975,33231190.765,34205433.7325,35179676.7,34507221.21,36219666.64,37188329.7,34851726.77
18311463.0,25555086.0,19025647.0,19046399.0,19209757.0,19299649.36,19083493.020000003,19154956.770000003,19901419.42,20016952.85,20505791.55,20858264.57,26199435.08,26667092.38,30855558.22,34559143.69
4718638.0,3680061.0,4012510.0,5184245.0,4334079.78,4221349.710000001,4082794.4000000004,4166771.48,5085559.135,6004346.79,5918500.69,3737773.71,3924062.28,4790065.57,5298911.35,6179334.14
12955184.0,12955184.0,12955184.0,12047504.0,11358774.129999999,27067249.66,28638596.029999997,19303315.97,20825604.685,22347893.4,23870182.115,25392470.83,26384078.11,26348644.92,28107580.62,31789979.39
16357846.0,16473563.0,18301149.0,20556013.0,20826167.72,20704630.589999996,20583093.459999997,19667931.08,15281903.469999999,10895875.86,10941354.6,19558698.59,25972040.56,24814250.16,21614618.47,31186594.95
17610659.0,17586824.0,14620460.0,13847286.0,13422072.36,13358791.98,13320733.790000001,14252609.08,14334073.219999999,14415537.36,14923220.58,15430903.8,17512204.94,17997992.39,19573269.48,22025477.59
10745061.0,10964382.0,11154659.0,14086338.0,11424034.51,10611282.02,11106240.190000001,9994193.3,9622368.120000001,9250542.94,9389301.0,9528059.06,13410752.49,13169613.49,14359144.42,14545650.29
