BDAP,Accertamenti ACCENSIONE PRESTITI,Accertamenti ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"Accertamenti ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",Accertamenti ENTRATE DA RIDUZIONE DI ATTIVITA' FINANZIARIE,Accertamenti ENTRATE EXTRATRIBUTARIE,Accertamenti ENTRATE IN CONTO CAPITALE,Accertamenti ENTRATE PER CONTO TERZI E PARTITE DI GIRO,Accertamenti TRASFERIMENTI CORRENTI,Riscossioni in CC ACCENSIONE PRESTITI,Riscossioni in CC ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"Riscossioni in CC ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",Riscossioni in CC ENTRATE DA RIDUZIONE DI ATTIVITA' FINANZIARIE,Riscossioni in CC ENTRATE EXTRATRIBUTARIE,Riscossioni in CC ENTRATE IN CONTO CAPITALE,Riscossioni in CC ENTRATE PER CONTO TERZI E PARTITE DI GIRO,Riscossioni in CC TRASFERIMENTI CORRENTI,Riscossioni in CR ACCENSIONE PRESTITI,Riscossioni in CR ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"Riscossioni in CR ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",Riscossioni in CR ENTRATE DA RIDUZIONE DI ATTIVITA' FINANZIARIE,Riscossioni in CR ENTRATE EXTRATRIBUTARIE,Riscossioni in CR ENTRATE IN CONTO CAPITALE,Riscossioni in CR ENTRATE PER CONTO TERZI E PARTITE DI GIRO,Riscossioni in CR TRASFERIMENTI CORRENTI
187742930446810702,11.834319526627219,0.0,861.1394806048652,0.0,271.9363576594346,1228.416272189349,175.36187376725837,191.98744904667979,5.259697567389875,0.0,804.9525509533203,0.0,245.78251150558845,556.8653122945431,173.03782380013152,53.526272189349115,0.0,0.0,54.691794871794876,0.0,8.253576594345825,38.16699539776463,0.5259697567389875,10.179546351084813
187742930459631002,0.0,0.0,708.301747311828,0.0,79.6706182795699,24.42459677419355,218.5793548387097,86.20610215053763,0.0,0.0,611.1118010752688,0.0,67.7003494623656,24.42459677419355,215.55462365591399,86.20610215053763,0.0,0.0,64.49373655913978,0.0,20.638897849462367,120.82768817204301,3.564516129032258,1.6888440860215055
187742930522129302,0.0,0.0,969.8132073954984,0.0,252.56672025723472,171.71686093247587,142.7116720257235,124.06519292604501,0.0,0.0,832.7262419614148,0.0,188.803577170418,52.04497990353698,142.468729903537,78.72559485530546,0.0,0.0,172.36734324758842,0.0,57.65770498392283,134.3331310289389,0.7540192926045016,5.635257234726688
187742930531273002,0.0,0.0,705.4176416184971,0.0,188.4597803468208,1887.5236069364162,455.3841271676301,257.7991098265896,0.0,0.0,691.8735028901733,0.0,112.14717919075144,1430.5727861271675,453.16664739884396,159.63831213872834,0.0,0.0,23.89850867052023,0.0,288.614612716763,311.7473526011561,144.36114450867052,0.0
187842930460474102,0.0,265.4967118133935,593.8054477050414,0.0,356.8723601705543,78.46677953348382,196.02819162277402,50.836739403059944,0.0,265.4967118133935,460.08503135189363,0.0,62.175096563832454,75.4193754702784,183.14773263105093,21.63288939051919,0.0,0.0,85.15876598946576,0.0,135.17585402558313,42.96414597441685,0.4187358916478555,32.37378480060195
187842930463290001,0.0,0.0,484.3864171915524,0.0,76.6500963319748,306.408788440163,181.039918488329,695.1416042978881,0.0,0.0,405.7525898480919,0.0,64.86603927380511,149.54203038162282,174.0402741756206,683.9681956280103,0.0,0.0,31.54060022230456,0.0,12.825665061133753,38.75931826602445,28.052123008521672,53.49571693219711
187942930524637001,0.0,0.0,528.2349948691636,0.0,215.4887532067727,91.99155336069781,111.02598512057466,50.763391910381394,0.0,0.0,469.5864610056439,0.0,161.2498191380195,86.12993928510348,107.60106678638618,41.84132247306311,0.0,0.0,71.25836369078161,0.0,31.35378057123311,9.855481443475286,1.2809902514109799,6.230088934496323
187942930528980602,0.0,0.0,484.70783801874165,0.0,136.69965863453817,718.6274631860776,175.28580990629183,273.19379518072293,0.0,0.0,351.8593574297189,0.0,34.95431057563587,27.673119143239624,173.905046854083,212.099297188755,0.0,0.0,164.75333333333333,0.0,85.23415662650602,86.98856760374832,15.5634672021419,3.9760776439089693
188242929013166301,0.0,0.0,578.5380524861878,0.0,227.16128453038672,345.440773480663,271.6047099447514,85.00087016574585,0.0,0.0,503.3501519337017,0.0,141.45906077348067,131.92674033149171,267.12410220994474,77.21777624309392,0.0,0.0,99.25189226519336,0.0,14.16353591160221,141.458908839779,0.5036878453038675,25.230207182320438
188242930464850202,0.0,0.0,601.4077551020408,0.0,248.60911922663803,1998.0943609022556,152.4224060150376,706.336820622986,0.0,0.0,528.8664232008593,0.0,105.73078410311493,279.60198711063373,146.3522126745435,559.018850698174,0.0,0.0,77.49427497314716,0.0,207.76082706766917,86.77940923737917,5.370569280343717,67.18575725026854
