BDAP,Accertamento in CC ENTRATE DA SERVIZI PER CONTO DI TERZI,Accertamento in CC ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,"Accertamento in CC ENTRATE DERIVANTI DA ALIENAZIONE, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONI DI CREDITI",Accertamento in CC ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Accertamento in CC ENTRATE EXTRATRIBUTARIE,Accertamento in CC ENTRATE TRIBUTARIE,Riscossione in CC ENTRATE DA SERVIZI PER CONTO DI TERZI,Riscossione in CC ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,"Riscossione in CC ENTRATE DERIVANTI DA ALIENAZIONE, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONI DI CREDITI",Riscossione in CC ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Riscossione in CC ENTRATE EXTRATRIBUTARIE,Riscossione in CC ENTRATE TRIBUTARIE,Riscossione in CR ENTRATE DA SERVIZI PER CONTO DI TERZI,Riscossione in CR ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,"Riscossione in CR ENTRATE DERIVANTI DA ALIENAZIONE, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONI DI CREDITI",Riscossione in CR ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Riscossione in CR ENTRATE EXTRATRIBUTARIE,Riscossione in CR ENTRATE TRIBUTARIE
981542930534375901,201.14027261462206,0.0,410.8292441140025,861.5972738537795,274.92292441140023,249.83345724907062,197.29888475836432,0.0,138.54126394052045,806.9174721189592,160.8180916976456,129.13159851301114,6.684262701363073,0.0,394.946468401487,77.14374225526642,99.4002478314746,106.617843866171
981742930459941402,54.21135940409683,5.919925512104283,23.94413407821229,426.41620111731845,80.58566108007449,183.6340782122905,52.06983240223464,0.0,23.94413407821229,383.5679702048417,64.16666666666667,86.2122905027933,4.554003724394786,0.0,66.58752327746741,164.80819366852887,6.21415270018622,84.21973929236499
981742930548355901,61.71587197909863,0.0,60.06596995427825,222.2883736120183,94.84030045721751,426.2468974526453,60.859895493141735,0.0,28.93435662965382,215.41312867406924,71.10352710646636,294.40235140431093,2.409209666884389,0.0,0.6851730894839974,24.2416721097322,30.717504898758982,140.69007184846507
981942930469934001,102.59453302961276,589.0391799544419,800.1225512528474,579.8104783599089,91.84601366742596,175.38952164009112,93.89612756264236,160.3120728929385,26.090660592255126,434.70387243735763,15.877904328018223,71.44738041002277,4.6414578587699316,20.275626423690206,164.6373576309795,32.760820045558084,39.98952164009112,138.5485193621868
981942930529053301,65.5128452372753,0.0,114.64102210896067,182.59666643708243,192.96721537295957,310.48584613265376,63.58605964598113,0.0,94.95288931744611,176.60637784971416,106.52965080239686,258.64866726358565,3.133549142502927,18.592878297403402,26.838831875473517,20.08995109856051,35.803016736689855,59.97947517046629
982142930455207302,95.17915458568595,0.0,551.3705173203114,200.30901877002898,249.7266900656188,505.0064092781932,92.85914848161147,0.0,345.10514268274073,126.72897909354494,210.66564932092172,427.2037234854265,4.034182817030368,36.75202197466809,1.5132000610407448,11.815656951014802,42.10712650694339,51.16084236227682
982142930544994001,72.54848304580607,135.2941701368233,207.33372992266507,250.30101130279596,310.3917311124331,276.66448542534204,70.68114217727543,0.0,78.10707911957168,214.12671029149317,286.5716835217133,200.21475312314098,5.182034503271862,0.0,25.87001784651993,34.152587745389646,94.34681737061273,65.92117787031529
982242930289696801,107.4488341968912,0.0,325.9922279792746,354.36204663212436,125.22862694300518,162.4332901554404,104.03303108808291,0.0,183.33549222797927,295.0693005181347,33.5660621761658,81.04598445595855,36.32253886010363,0.0,53.71178756476684,12.637305699481866,74.98769430051813,81.11463730569949
982242930460539502,182.0564050288821,41.45429833503228,319.86306489976215,878.7801563030921,478.9252463472647,146.82874617737002,106.64084267753992,0.0,71.36051647978253,756.5470608222902,37.40672782874618,65.63166836561332,17.46041454298335,0.0,371.6123003737683,119.25178389398573,116.01087325857968,77.12062521236834
982542930479890101,96.34085903083701,0.0,555.5412995594713,588.0233113069016,188.79313509544787,194.39445668135096,91.6602422907489,0.0,55.62867107195301,455.6484948604993,79.80873715124817,70.08590308370044,63.77716593245228,5.376468428781204,91.95704845814979,89.15638766519824,69.55965491923642,117.77991923641703
