BDAP,Impegni Chiusura Anticipazioni ricevute da istituto tesoriere/cassiere,Impegni Rimborso Prestiti,Impegni Spese correnti,Impegni Spese in conto capitale,Impegni Spese per incremento attivita' finanziarie,Impegni Uscite per conto terzi e partite di giro,Pagamenti in CC Chiusura Anticipazioni ricevute da istituto tesoriere/cassiere,Pagamenti in CC Rimborso Prestiti,Pagamenti in CC Spese correnti,Pagamenti in CC Spese in conto capitale,Pagamenti in CC Spese per incremento attivita' finanziarie,Pagamenti in CC Uscite per conto terzi e partite di giro,Pagamenti in CR Chiusura Anticipazioni ricevute da istituto tesoriere/cassiere,Pagamenti in CR Rimborso Prestiti,Pagamenti in CR Spese correnti,Pagamenti in CR Spese in conto capitale,Pagamenti in CR Spese per incremento attivita' finanziarie,Pagamenti in CR Uscite per conto terzi e partite di giro
297942930447564901,0.0,360.57316514890476,840.4162638444499,313.35337927639677,0.0,119.17851587496924,0.0,360.57316514890476,667.7471548117155,138.45876445975878,0.0,96.9093206989909,0.0,0.0,284.3533202067438,94.11742062515383,0.0,26.120851587496926
297942930472700202,144.26461236623066,33.10427110582639,926.1341831153389,41.96125089179548,11.890606420927467,118.97389774078478,144.26461236623066,33.10427110582639,608.8825386444709,16.55666468489893,11.890606420927467,94.20714387633768,0.0,0.0,145.51434244946495,13.90714744351962,0.0,16.100921521997623
297942930473282202,0.0,152.01707568807342,1004.5614277522935,330.89432339449536,0.0,173.85247706422018,0.0,152.01707568807342,865.6835378440368,174.38063073394497,0.0,166.24783830275229,0.0,0.0,168.29727064220182,60.67678325688073,0.0,1.470716743119266
298042930524275601,0.0,87.99496739774749,697.0914285714285,25.211772377000592,0.498221695317131,91.40395376407825,0.0,87.99496739774749,524.770580912863,23.635714285714283,0.498221695317131,90.90060462359217,0.0,0.0,153.58181387077653,20.288263189093065,0.0,0.8141078838174275
298242930477089302,0.0,108.77443722943723,1205.239502164502,1517.3236147186146,0.0,384.14665223665224,0.0,108.77443722943723,1036.8856854256856,1340.632012987013,0.0,381.6936507936508,0.0,0.0,191.514329004329,85.72830447330446,0.0,0.0
298242930510235002,0.0,68.58821656050955,809.4661638679792,236.05270121598147,0.0,424.0942906774754,0.0,68.58821656050955,653.6261175448755,210.3416068326578,0.0,422.4261088592936,0.0,0.0,92.89559061957151,125.85333236826867,0.0,2.2608888245512446
298342930447643102,0.0,74.72428717948718,1137.2611076923079,60.97702564102564,0.0,205.6668,0.0,74.72428717948718,745.9321948717949,27.1752,0.0,200.9651282051282,0.0,0.0,338.1065846153846,181.75937435897438,0.0,4.9212
298342930544433301,0.0,66.38429547010597,929.6048253524258,101.72316565917828,52.56431870183221,129.00029077694617,0.0,66.38429547010597,761.107056241844,71.06327151860586,52.56431870183221,109.25343279477082,0.0,7.657086144645292,149.02445095296892,25.59660652946099,0.0,23.620956304458502
298342930548585002,687.0009656050955,29.67142929936306,633.3952280254778,244.3701146496815,0.0,128.0844101910828,618.1831439490445,29.67142929936306,466.7572,17.617696815286624,0.0,118.83732229299363,0.0,0.0,136.8762828025478,100.47172484076434,0.0,7.727166878980892
298542930475335702,0.0,52.77869400244798,646.4589987760097,125.66109547123624,0.0,93.10512851897185,0.0,52.77869400244798,540.9526450428397,55.933821297429624,0.0,82.77660832313342,0.0,0.0,83.61714198286414,29.03394124847001,0.0,8.007220318237454
298542930528293701,0.0,14.568770226537216,843.5041100323624,232.90944983818773,0.0,268.10233009708736,0.0,14.568770226537216,765.757281553398,232.90944983818773,0.0,229.50912621359225,0.0,0.0,82.71919093851133,423.62297734627833,0.0,38.62087378640777
298842930529840402,285.513627254509,221.67735470941884,974.6075951903807,551.1835671342685,0.0,285.45993987975953,285.513627254509,221.67735470941884,741.0826853707415,150.7604008016032,0.0,285.0269739478958,309.7901803607214,0.0,191.76214428857716,235.45224448897795,0.0,0.0
299042929197945001,0.0,139.71066974595843,4073.196004618938,2629.550484988453,0.0,583.7648267898384,0.0,139.71066974595843,3118.885750577367,1028.8113163972287,0.0,517.9562817551963,0.0,0.0,1100.9090300230946,7335.304595842957,0.0,93.15401847575059
299242930449084201,0.0,34.43883801604094,1175.510844363529,590.3987300103331,0.0,271.4543022683659,0.0,34.43883801604094,1011.1484096836097,496.2019384441273,0.0,248.2488872213748,0.0,0.0,108.2436355360921,258.2188372779609,130.9845987305024,13.03432318063278
299442930462151402,0.0,12.921976744186047,1857.7702325581395,636.1273023255814,0.0,333.69174418604655,0.0,12.921976744186047,1645.1725581395349,584.2885581395349,0.0,317.5231860465116,0.0,0.0,159.49383720930234,197.74162790697673,0.0,19.148023255813953
299542930517598002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299642930472921601,0.0,65.10087912087913,2071.3446886446886,2014.7473260073261,0.0,641.6548351648352,0.0,65.10087912087913,1753.8893040293042,1617.2601465201467,0.0,639.807326007326,0.0,0.0,436.92945054945056,781.4673626373626,0.0,169.03725274725275
299642930524834302,643.6174060194403,50.20458133270875,642.585132333997,28.666844478276143,0.0,120.38270933364562,620.6106669399228,50.20458133270875,530.0182644337744,14.591360815083734,0.0,113.7215487762033,59.49267420072608,6.422145450286918,165.89842604520436,38.14288499824335,0.0,3.6816664714837803
299742930528227402,0.0,36.86051985559567,618.5802733367715,235.9944755028365,0.0,176.03592057761733,0.0,36.86051985559567,484.3555306859206,186.7950036101083,0.0,90.51147911294483,0.0,8.251676121712222,118.73731407942239,25.860822073233628,0.0,13.757996905621454
299742930545005402,1408.1777816901408,75.99561267605634,876.4564647887323,626.5236690140845,0.0,277.9180211267606,1341.8382605633803,75.99561267605634,675.7131690140844,52.82181690140845,0.0,214.16664788732396,0.0,0.0,120.8426971830986,516.4951549295774,0.0,0.6487112676056338
301242930459796901,0.0,13.791050962300872,414.3842723275427,151.6273502486845,0.0,80.0009190513948,0.0,13.791050962300872,360.106631586535,134.8252029121315,0.0,76.99959129243855,0.0,0.0,36.898135226699345,23.832385208678726,0.0,3.719620846248108
301542930508533601,0.0,59.630892857142854,573.2258522727273,321.6889366883117,0.0,106.59568181818182,0.0,59.630892857142854,480.9165665584415,65.07799512987013,0.0,93.53580357142857,0.0,0.0,81.08308441558441,48.52564935064935,0.0,5.078425324675324
301542930528796002,237.34123691170612,49.3261928915619,358.54830259773195,6.024681714430637,0.0,403.3365725879497,237.34123691170612,49.3261928915619,219.49244628817794,0.0,0.0,385.3548063475961,0.0,13.015437121843412,85.13233324879532,8.454691858990616,0.0,3.5709749646751927
