BDAP,A1,A2,A3,A4,A5
127442930521046502,3.055555582046509,10.033884876179245,73.44811320754717,47.803741455078125,361.2198469054024
127442930526713101,3.1025640964508057,12.81903444840604,94.47651006711409,79.18146514892578,999.8847234254449
127542929927508201,3.125,4.918334563314332,13.652551574375678,3.770383834838867,39.346676639055715
127742930538769502,0.0,0.0,0.0,0.0,0.0
127842930478658501,0.0,0.0,0.0,0.0,0.0
127942930476460801,0.0,0.0,0.0,0.0,0.0
128042930530738002,0.0,0.0,0.0,0.0,0.0
128042930530834301,0.7894737124443054,5.919557849245349,18.36117936117936,76.34727478027344,449.88641519218464
128242930475470402,0.0,0.0,0.0,0.0,0.0
128242930533241301,0.0,0.0,0.0,0.0,0.0
128342930480027202,0.0,0.0,0.0,0.0,0.0
128442930525819801,0.0,0.0,0.0,0.0,0.0
128442930543538501,0.0,0.0,0.0,0.0,0.0
128542930509668001,0.0,0.0,0.0,0.0,0.0
128642930463054502,0.0,0.0,0.0,0.0,0.0
128642930516861302,0.0,0.0,0.0,0.0,0.0
129242930521771901,4.869565010070801,11.909976402635676,101.62277580071175,31.225074768066406,273.9294635867733
129342929605912602,0.0,0.0,0.0,0.0,0.0
129342930475939201,0.0,0.0,0.0,0.0,0.0
129442930457306502,1.84375,15.8212001597514,404.78991596638656,93.57049560546875,1518.835248119023
129542928219724801,4.0,11.6504303416567,11.650717703349283,0.5748704671859741,11.6504303416567
129542930532555102,0.0,0.0,0.0,0.0,0.0
129542930538128702,0.0,90.7791440700569,85.92105263157895,16.507369995117188,90.7791440700569
129642930544823502,1.2083333730697632,29.362907247340427,159.48936170212767,23.49257469177246,704.7097843124511
129742930546105901,5.615384578704834,8.957272884589411,56.49878444084279,17.910600662231445,116.44454796130049
129742930549689001,0.0,0.0,0.0,0.0,0.0
129942930463915001,0.0,0.0,0.0,0.0,0.0
129942930517119002,0.0,0.0,0.0,0.0,0.0
131242930547233301,0.0,0.0,0.0,0.0,0.0
131342930449411402,3.17391300201416,13.526578235574306,321.9172563962983,71.50162506103516,622.2225758444049
131742930464510202,0.0,0.0,0.0,0.0,0.0
131942930456273702,0.0,0.0,0.0,0.0,0.0
132042930544478501,0.0,0.0,0.0,0.0,0.0
132142930516846102,0.0,0.0,0.0,0.0,0.0
132142930543892602,0.0,0.0,0.0,0.0,0.0
132242930544450901,0.0,0.0,0.0,0.0,0.0
132242930546422601,0.0,0.0,0.0,0.0,0.0
132342930477421702,0.0,0.0,0.0,0.0,0.0
132342930525346801,4.5,0.9711284329964582,1.3950903761602345,0.27837538719177246,1.9422569256266793
132442930316683302,0.0,0.0,0.0,0.0,0.0
132642930457432501,2.9245283603668213,9.659875595674487,196.54461667364893,131.8771514892578,1023.9468120244142
132642930528427002,2.192307710647583,20.350476281117583,104.00211864406779,148.10206604003906,1587.3371733629097
133042930530349202,0.0,0.0,0.0,0.0,0.0
133042930549781002,0.0,0.0,0.0,0.0,0.0
133242930477853802,0.0,38.39913059112843,38.39903489235338,1.6710201501846313,38.39913059112843
133342930526510901,0.0,0.0,0.0,0.0,0.0
133442929373095001,0.0,0.0,0.0,0.0,0.0
133742930510374501,0.0,0.0,0.0,0.0,0.0
133842928067730402,13.833333015441895,6.659010410308838,17.296875,3.7502620220184326,39.954062044620514
133942930515980301,0.0,0.0,0.0,0.0,0.0
133942930517455202,4.55555534362793,12.27707174948386,114.87987987987988,37.50994873046875,331.4809297670473
133942930519424601,0.0,0.0,0.0,0.0,0.0
134042929268266502,0.0,0.0,0.0,0.0,0.0
134142930456974502,0.0,0.0,0.0,0.0,0.0
134342930526904002,0.0,0.0,0.0,0.0,0.0
134342930541890202,0.0,0.0,0.0,0.0,0.0
134442928030278202,4.71875,10.15438109405281,122.11046511627907,65.3734359741211,649.880367397338
134442930530421902,0.0,0.0,0.0,0.0,0.0
134542928005472101,0.0,0.0,0.0,0.0,0.0
134542930452103202,0.0,0.0,0.0,0.0,0.0
134542930479743002,0.0,0.0,0.0,0.0,0.0
134542930515885601,0.0,0.0,0.0,0.0,0.0
134642930516950001,0.0,0.0,0.0,0.0,0.0
134642930545090501,0.0,0.0,0.0,0.0,0.0
134942930519119102,0.0,0.0,0.0,0.0,0.0
134942930538026601,0.0,0.0,0.0,0.0,0.0
135042930544385201,0.27941176295280457,8.570109658191887,11.155926352128883,88.61994934082031,582.7674495400164
135142930528286501,0.0,0.0,0.0,0.0,0.0
135242929303665102,0.0,0.0,0.0,0.0,0.0
135442930470672302,3.08695650100708,8.454225614851959,79.55921680993315,16.30529022216797,194.44719977866157
135442930477857901,0.0,0.0,0.0,0.0,0.0
135442930507917802,0.0,0.0,0.0,0.0,0.0
135442930542827201,0.0,0.0,0.0,0.0,0.0
135542928235893302,0.0,0.0,0.0,0.0,0.0
135642930479563102,0.0,0.0,0.0,0.0,0.0
135742930519956701,0.0,0.0,0.0,0.0,0.0
135842928236098401,0.0,0.0,0.0,0.0,0.0
135842930536357601,2.6818182468414307,13.086752647210744,79.71763085399449,22.734766006469727,287.9085557270313
136042930476722802,0.0,0.0,0.0,0.0,0.0
136142930455392102,0.0,0.0,0.0,0.0,0.0
136142930458954702,0.0,78.4096984235778,78.4096739449721,15.048262596130371,78.4096984235778
136242930459147501,0.0,0.0,0.0,0.0,0.0
136242930477909801,0.0,0.0,0.0,0.0,0.0
136442929721382302,0.0,0.0,0.0,0.0,0.0
136542928086560001,0.0,0.0,0.0,0.0,0.0
136542930528454802,3.7916667461395264,4.457076913339121,58.29490740740741,33.802162170410156,213.9396844704946
136642929104783902,1.6666666269302368,1.2641012659300435,3.7926247288503254,0.7863702178001404,3.7923036389133675
136642930473633302,0.0,0.0,0.0,0.0,0.0
136642930516789801,0.0,0.0,0.0,0.0,0.0
